disorder;disorder_OMIM;disorder_cat;symptom;symptom_cat;gene_symb;gene_OMIM;gene_cytoloc
VACTERL association;192350;syndrome;displacement of the external urethral meatus;Abnormality of the urethra;HOXD13, HOX4I, SPD, BDSD;142989;2q31.1
VACTERL association;276950;syndrome;absent thumb;Aplasia/Hypoplasia of the thumb;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
Van Maldergem syndrome;601390;syndrome;irregular dentition;Abnormality of the teeth;DCHS1, PCDH16, FIB1, CDH19, VMLDS1;603057;11p15.4
Van Maldergem syndrome;615546;syndrome;irregular dentition;Abnormality of the teeth;FAT4, VMLDS2, HKLLS2;612411;4q28.1
Van der Woude syndrome;119300;syndrome;hypodontia;Reduced number of teeth;IRF6, VWS, LPS, PIT, PPS1, OFC6;607199;1q32.2
Van der Woude syndrome;606713;syndrome;anodontia;Reduced number of teeth;GRHL3, SOM, TFCP2L4, VWS2;608317;1p36.11
Waardenburg's syndrome;148820;autosomal dominant disease;atelectasis;Abnormality of the lung;PAX3, WS1, HUP2, CDHS, WS3;606597;2q36.1
Waardenburg's syndrome;193500;autosomal dominant disease;tented upper lip vermilion;Abnormality of upper lip vermillion;PAX3, WS1, HUP2, CDHS, WS3;606597;2q36.1
Waardenburg's syndrome;193510;autosomal dominant disease;congenital sensorineural hearing impairment;Sensorineural hearing impairment;MITF, WS2A, CMM8;156845;3p14-p13
Waardenburg's syndrome;277580;autosomal dominant disease;leukodystrophy;Abnormal CNS myelination;EDNRB, HSCR2, ABCDS, WS4A;131244;13q22.3
Waardenburg's syndrome;608890;autosomal dominant disease;congenital sensorineural hearing impairment;Sensorineural hearing impairment;SNAI2, SLUG, WS2D;602150;8q11.21
Waardenburg's syndrome;611584;autosomal dominant disease;hypoplasia of the semicircular canal;Morphological abnormality of the semicircular canal;SOX10, WS4, WS4C, PCWH;602229;22q13.1
Waardenburg's syndrome;613265;autosomal dominant disease;aganglionic megacolon;Abnormality of the enteric ganglia;EDN3, WS4B, HSCR4;131242;20q13.32
Waardenburg's syndrome;613266;autosomal dominant disease;aganglionic megacolon;Abnormality of the enteric ganglia;SOX10, WS4, WS4C, PCWH;602229;22q13.1
Walker-Warburg syndrome;236670;congenital muscular dystrophy;intellectual disability, severe;Intellectual disability;POMT1, MDDGA1, MDDGB1, MDDGC1;607423;9q34.13
Walker-Warburg syndrome;253280;congenital muscular dystrophy;midface retrusion;Abnormality of the midface;POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3;606822;1p34.1
Warburg micro syndrome;600118;autosomal recessive disease;short stature;Growth delay;RAB3GAP1, WARBM1, P130;602536;2q21.3
Warburg micro syndrome;614222;autosomal recessive disease;ankle clonus;Abnormality of the ankles;RAB18, WARBM3;602207;10p12.1
Warburg micro syndrome;614225;autosomal recessive disease;severe global developmental delay;Global developmental delay;RAB3GAP2, RAB3GAP150, p150, KIAA0839, WARBM2;609275;1q41
Warburg micro syndrome;615663;autosomal recessive disease;intellectual disability, severe;Intellectual disability;TBC1D20, C20orf140, WARBM4;611663;20p13
Weaver syndrome;277590;physical disorder;dysharmonic bone age;Abnormality of skeletal maturation;EZH2, EZH1, WVS;601573;7q36.1
Weill-Marchesani syndrome;277600;autosomal genetic disease;severe myopia;Myopia;ADAMTS10, WMS1;608990;19p13.2
Weill-Marchesani syndrome;608328;autosomal genetic disease;severe myopia;Myopia;FBN1, MFS1, WMS2, SSKS, GPHYSD2, ACMICD, ECTOL1;134797;15q21.1
Weill-Marchesani syndrome;613195;autosomal genetic disease;short stature;Growth delay;ADAMTS17;607511;15q26.3
Weill-Marchesani syndrome;614819;autosomal genetic disease;increased intraocular pressure;Abnormal intraocular pressure;LTBP2, LTBP3, GLC3D, MSPKA, WMS3;602091;14q24.3
Werdnig-Hoffmann disease;253300;survival motor neuron spinal muscular atrophy;proximal muscle weakness in lower limbs;Proximal muscle weakness;SMN1, SMA1, SMA2, SMA3, SMA4;600354;5q13.2
Wermer syndrome;131100;autosomal dominant disease;esophagitis;Gastrointestinal inflammation;MEN1;613733;11q13.1
Werner syndrome;277700;autosomal recessive disease;skin ulcer;Localized skin lesion;RECQL2, RECQ3, WRN;604611;8p12
Wilson disease;277900;metal metabolism disorder;atypical or prolonged hepatitis;Hepatitis;ATP7B, WND;606882;13q14.3
Wiskott-Aldrich syndrome;301000;X-linked disease;small vessel vasculitis;Vasculitis;WAS, IMD2, THC1, SCNX;300392;Xp11.23
Wolff-Parkinson-White syndrome;194200;heart conduction disease;ventricular preexcitation with multiple accessory pathways;Ventricular preexcitation;PRKAG2, WPWS, CMH6;602743;7q36.1
Wolfram syndrome;222300;genetic disease;limited mobility of proximal interphalangeal joint;Abnormality of phalangeal joints of the hand;WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41;606201;4p16.1
Wolfram syndrome;604928;genetic disease;impaired collagen-induced platelet aggregation;Impaired platelet aggregation;CISD2, WFS2, ZCD2, ERIS;611507;4q24
X-linked chondrodysplasia punctata;302950;chondrodysplasia punctata;epiphyseal stippling;Ectopic calcification;ARSE, CDPX1, CDPXR;300180;Xp22.33
X-linked chondrodysplasia punctata;302960;chondrodysplasia punctata;hemiatrophy;Asymmetric growth;EBP, CDPX2, CPXD, CPX;300205;Xp11.23
X-linked hypophosphatemia;193100;metal metabolism disorder;hypophosphatemic rickets;Rickets;FGF23, ADHR, HPDR2, PHPTC;605380;12p13.32
X-linked hypophosphatemia;241520;metal metabolism disorder;increased bone mineral density;Abnormality of bone mineral density;DMP1, ARHR, ARHP;600980;4q22.1
X-linked hypophosphatemia;300554;metal metabolism disorder;chronic kidney disease;Renal insufficiency;CLCN5, CLCK2, NPHL2, DENTS, NPHL1;300008;Xp11.23-p11.22
X-linked hypophosphatemia;307800;metal metabolism disorder;enthesitis;Abnormality of Sharpey fibers;PHEX, HYP, HPDR1, LXHR;300550;Xp22.11
X-linked hypophosphatemia;613312;metal metabolism disorder;hypophosphatemic rickets;Rickets;ENPP1, PDNP1, NPPS, M6S1, PCA1, ARHR2, COLED;173335;6q23.2
X-linked ichthyosis;308100;X-linked disease;cognitive impairment;Abnormality of higher mental function;STS, ARSC1, ARSC, SSDD, XLI;300747;Xp22.31
X-linked nonsyndromic deafness;304400;nonsyndromic deafness;dilatated internal auditory canal;Abnormality of the internal auditory canal;POU3F4, DFN3, DFNX2;300039;Xq21.1
X-linked nonsyndromic deafness;304500;nonsyndromic deafness;x-linked recessive inheritance;X-linked inheritance;PRPS1, CMTX5, DFNX1, DFN2;311850;Xq22.3
X-linked sideroblastic anemia with ataxia;301310;spinocerebellar ataxia;cognitive impairment;Abnormality of higher mental function;ABCB7, ABC7, ASAT;300135;Xq13.3
X-linked sideroblastic anemia;300751;sideroblastic anemia;irregular hyperpigmentation;Hyperpigmentation of the skin;ALAS2, ANH1, ASB, XLEPP, XLSA, ANH1;301300;Xp11.21
Zellweger syndrome;214100;peroxisomal disease;albuminuria;Proteinuria;PEX1, ZWS1, PBD1A, PBD1B;602136;7q21.2
abetalipoproteinemia;200100;hypolipoproteinemia;abnormality of movement;Abnormality of nervous system physiology;MTP;157147;4q23
acatalasia;614097;peroxisomal disease;reduced catalase activity;Abnormal enzyme/coenzyme activity;CAT;115500;11p13
aceruloplasminemia;604290;iron metabolism disease;abnormal renal physiology;Abnormality of the urinary system physiology;CP;117700;3q24-q25
acheiropody;200500;osteochondrodysplasia;absent toe;Aplasia/Hypoplasia of toe;LMBR1, ACHP, C7orf2, PPD2, THYP, LSS;605522;7q36.3
achondrogenesis type IA;200600;achondrogenesis;abnormal foot bone ossification;Abnormal enchondral ossification;TRIP11, TRIP230, CEV14, ACG1A;604505;14q32.12
achondrogenesis type IB;600972;achondrogenesis;flat face;Abnormal facial shape;SLC26A2, DTD, DTDST, D5S1708, EDM4;606718;5q32
achondrogenesis type II;200610;achondrogenesis;short thorax;Abnormality of the thorax;COL2A1;120140;12q13.11
achondroplasia;100800;osteochondrodysplasia;short femoral neck;Aplasia/Hypoplasia involving the femoral head and neck;FGFR3, ACH;134934;4p16.3
achromatopsia;216900;color blindness;rod monochromacy;Monochromacy;CNGA3, CNG3, ACHM2;600053;2q11.2
achromatopsia;262300;color blindness;severe myopia;Myopia;CNGB3, ACHM3, ACHM1;605080;8q21.3
achromatopsia;610024;color blindness;progressive cone degeneration;Retinal degeneration;PDE6H, RCD3, ACHM6;601190;12p12.3
achromatopsia;613093;color blindness;nystagmus;Abnormal involuntary eye movements;PDE6C, PDEA2, COD4;600827;10q23.33
achromatopsia;613856;color blindness;rod monochromacy;Monochromacy;GNAT2, ACHM4;139340;1p13.3
acrocallosal syndrome;200990;syndrome;displacement of the external urethral meatus;Abnormality of the urethra;KIF7, HLS2, ACLS, JBTS12;611254;15q26.1
acrocapitofemoral dysplasia;607778;osteochondrodysplasia;short femoral neck;Aplasia/Hypoplasia involving the femoral head and neck;IHH, BDA1;600726;2q35
acrocephalosyndactylia;101200;synostosis;corneal erosion;Abnormality of corneal epithelium;FGFR2, BEK, CFD1, JWS, TK14, BBDS;176943;10q26.13
acrodermatitis enteropathica;201100;metal metabolism disorder;skin ulcer;Localized skin lesion;SLC39A4, ZIP4;607059;8q24.3
acrodysostosis;101800;dysostosis;short metatarsal;Abnormal morphology of bones of the lower limbs;PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1;188830;17q24.2
acrodysostosis;614613;dysostosis;midface retrusion;Abnormality of the midface;PDE4D, DPDE3, STRK1, ACRDYS2;600129;5q11.2-q12.1
acrofrontofacionasal dysostosis;301310;dysostosis;cognitive impairment;Abnormality of higher mental function;ABCB7, ABC7, ASAT;300135;Xq13.3
acrokeratosis verruciformis;101900;keratosis;acrokeratosis;Skin nodule;ATP2A2, ATP2B, DAR;108740;12q24.11
acromesomelic dysplasia, Grebe type;200700;acromesomelic dysplasia;short digit;Abnormality of digit;GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B;601146;20q11.22
acromesomelic dysplasia, Hunter-Thompson type;201250;acromesomelic dysplasia;cognitive impairment;Abnormality of higher mental function;GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B;601146;20q11.22
acromesomelic dysplasia, Maroteaux type;602875;acromesomelic dysplasia;prominent forehead;Abnormality of the forehead;NPR2, ANPRB, AMDM, ECDM;108961;9p13.3
acute intermittent porphyria;176000;acute porphyria;insomnia;Sleep disturbance;HMBS, PBGD, UPS;609806;11q23.3
acute lymphocytic leukemia;613065;lymphoblastic leukemia;polygenic inheritance;Multifactorial inheritance;BAX;600040;19q13.33
acute lymphocytic leukemia;613065;lymphoblastic leukemia;polygenic inheritance;Multifactorial inheritance;BCR, CML, PHL, ALL;151410;22q11.23
acute lymphocytic leukemia;613065;lymphoblastic leukemia;polygenic inheritance;Multifactorial inheritance;FLT3;136351;13q12.2
acute lymphocytic leukemia;613065;lymphoblastic leukemia;polygenic inheritance;Multifactorial inheritance;NBS1, NBS;602667;8q21.3
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;AF10;602409;10p12.31
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;ARHGEF12, LARG, KIAA0382;604763;11q23.3
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;CBFB, PEBP2B;121360;16q22.1
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;CEBPA, CEBP;116897;19q13.11
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;CHIC2, BTL;604332;4q12
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;ETV6, TEL, THC5;600618;12p13.2
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;FLT3;136351;13q12.2
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;GATA2, DCML, MONOMAC, IMD21;137295;3q21.3
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;GMPS;600358;3q25.31
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;JAK2, THCYT3;147796;9p24.1
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;KIT, PBT;164920;4q12
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;LPP;600700;3q27-q28
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;MLF1;601402;3q25.32
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;NPM1;164040;5q35.1
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;NSD1, ARA267, STO, SOTOS1;606681;5q35.2-q35.3
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;NUP214, D9S46E, CAN, CAIN;114350;9q34.13
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;PICALM, CALM, CLTH, LAP;603025;11q14.2
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;RUNX1, CBFA2, AML1;151385;21q22.12
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;SH3GL1, EEN;601768;19p13.3
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;TERT, TCS1, EST2, DKCA2, DKCB4, PFBMFT1, CMM9;187270;5p15.33
acute myeloid leukemia;601626;myeloid leukemia;acute myeloid leukemia;Acute leukemia;WHSC1L1, NSD3;607083;8p11.23
acute porphyria;612740;porphyria;cerebral palsy;Abnormality of movement;ALAD, ALADH, PBGS;125270;9q32
adenosine deaminase deficiency;102700;severe combined immunodeficiency;reduced red cell adenosine deaminase activity;Abnormal erythrocyte enzyme activity;ADA;608958;20q13.12
adrenocortical carcinoma;202300;adrenal cortex cancer;adrenocortical carcinoma;Neoplasm of the adrenal cortex;TP53, P53, LFS1 , BCC7;191170;17p13.1
adrenoleukodystrophy;202370;leukodystrophy;polar cataract;Cataract;PEX5, PXR1, PTS1R, PBD2A, PBD2B;600414;12p13.31
adrenoleukodystrophy;300100;leukodystrophy;primary adrenal insufficiency;Adrenal insufficiency;ABCD1, ALD, AMN;300371;Xq28
adult spinal muscular atrophy;271150;spinal muscular atrophy;spinal muscular atrophy;Skeletal muscle atrophy;SMN1, SMA1, SMA2, SMA3, SMA4;600354;5q13.2
advanced sleep phase syndrome;604348;sleep disorder;sleep-wake cycle disturbance;Sleep disturbance;PER2, FASPS1, KIAA0347;603426;2q37.3
advanced sleep phase syndrome;615224;sleep disorder;autosomal dominant inheritance;Mode of inheritance;CSNK1D, ASPS, FASPS2;600864;17q25.3
agammaglobulinemia;601495;blood protein disease;crohn's disease;Chronic colitis;IGHM, MU, AGM1;147020;14q32.33
agammaglobulinemia;612692;blood protein disease;chronic sinusitis;Sinusitis;CD79B, IGB, B29, AGM6;147245;17q23.3
agammaglobulinemia;613500;blood protein disease;recurrent pneumonia;Recurrent lower respiratory tract infections;IGLL1, IGO, IGL5, VPREB2, AGM2;146770;22q11.23
agammaglobulinemia;613501;blood protein disease;agammaglobulinemia;Abnormal immunoglobulin level;CD79A, IGA;112205;19q13.2
agammaglobulinemia;613502;blood protein disease;chronic sinusitis;Sinusitis;BLNK, SLP65, AGM4;604515;10q24.1
agammaglobulinemia;613506;blood protein disease;agammaglobulinemia;Abnormal immunoglobulin level;LRRC8A, KIAA1437, AGM5;608360;9q34.11
agammaglobulinemia;615214;blood protein disease;agammaglobulinemia;Abnormal immunoglobulin level;PIK3R1, GRB1, AGM7, SHORT, IMD36;171833;5q13.1
age related macular degeneration;153800;degeneration of macula and posterior pole;age-related macular degeneration;Macular degeneration;ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2;601691;1p22.1
age related macular degeneration;608895;degeneration of macula and posterior pole;drusen;Abnormality of the macula;FBLN5, ARMD3, ADCL2, ARCL1A;604580;14q32.12
age related macular degeneration;610698;degeneration of macula and posterior pole;polygenic inheritance;Multifactorial inheritance;HF1, CFH, HUS, ARMD4, AHUS1;134370;1q31.3
age related macular degeneration;611953;degeneration of macula and posterior pole;polygenic inheritance;Multifactorial inheritance;CST3, ARMD11;604312;20p11.21
age related macular degeneration;613757;degeneration of macula and posterior pole;macular degeneration;Abnormality of the macula;RAXL1, QRX, CORD11, ARMD6;610362;19p13.3
age related macular degeneration;615439;degeneration of macula and posterior pole;macular degeneration;Abnormality of the macula;CFI, FI, AHUS3, ARMD13;217030;4q25
aggressive periodontitis;170650;periodontitis;premature loss of teeth;Abnormality of the teeth;CTSC, CPPI, PALS, PLS, HMS, PDON1, JPD;602365;11q14.2
alcohol dependence;103780;substance dependence;abnormality of the nervous system;Phenotypic abnormality;ADH1B, ADH2;103720;4q23
alcohol dependence;103780;substance dependence;abnormality of the nervous system;Phenotypic abnormality;ADH1C, ADH3;103730;4q23
alcohol dependence;103780;substance dependence;abnormality of the nervous system;Phenotypic abnormality;GABRA2;137140;4p12
alcohol dependence;103780;substance dependence;abnormality of the nervous system;Phenotypic abnormality;HTR2A;182135;13q14.2
alcohol dependence;103780;substance dependence;abnormality of the nervous system;Phenotypic abnormality;RCBTB1, CLLD7, GLP;607867;13q14.2
alcohol dependence;103780;substance dependence;abnormality of the nervous system;Phenotypic abnormality;TAS2R16, T2R16;604867;7q31.32
alkaptonuria;203500;organic acidemia;cartilage destruction;Abnormal cartilage morphology;HGD, AKU;607474;3q13.33
alopecia universalis;203655;alopecia;alopecia universalis;Alopecia;HR, AU, MUHH1, HYPT4;602302;8p21.3
alpha 1-antitrypsin deficiency;613490;plasma protein metabolism disease;chronic obstructive pulmonary disease;Obstructive lung disease;SERPINA1, PI, AAT;107400;14q32.13
alpha thalassemia;301040;thalassemia;self-injurious behavior;Abnormal aggressive, impulsive or violent behavior;ATRX, XH2, XNP, SHS, SFM1, MRXHF1;300032;Xq21.1
alpha thalassemia;604131;thalassemia;cognitive impairment;Abnormality of higher mental function;HBA1, HBH;141800;16p13.3
alpha thalassemia;604131;thalassemia;cognitive impairment;Abnormality of higher mental function;HBA2, HBH;141850;16p13.3
alpha thalassemia;613978;thalassemia;reduced alpha/beta synthesis ratio;Imbalanced hemoglobin synthesis;HBA1, HBH;141800;16p13.3
alpha thalassemia;613978;thalassemia;reduced alpha/beta synthesis ratio;Imbalanced hemoglobin synthesis;HBA2, HBH;141850;16p13.3
alpha-mannosidosis;248500;lysosomal storage disease;cognitive impairment;Abnormality of higher mental function;MAN2B1, MANB;609458;19p13.2
alternating hemiplegia of childhood;104290;hemiplegia;episodic quadriplegia;Tetraplegia;ATP1A2, FHM2, MHP2;182340;1q23.2
alternating hemiplegia of childhood;614820;hemiplegia;episodic quadriplegia;Tetraplegia;ATP1A3, DYT12, RDP, AHC2, CAPOS;182350;19q13.2
